"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2014","European Union (28 countries)","Total","Total","Percentage","19.3",""
"2014","Belgium","Total","Total","Percentage","12.4",""
"2014","Bulgaria","Total","Total","Percentage","52.4",""
"2014","Czech Republic","Total","Total","Percentage","12.4",""
"2014","Denmark","Total","Total","Percentage","6.6",""
"2014","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","12",""
"2014","Estonia","Total","Total","Percentage","13.3",""
"2014","Ireland","Total","Total","Percentage","19.8",""
"2014","Greece","Total","Total","Percentage","37.4",""
"2014","Spain","Total","Total","Percentage","20.3",""
"2014","France","Total","Total","Percentage","13.7",""
"2014","Croatia","Total","Total","Percentage","22.3",""
"2014","Italy","Total","Total","Percentage","22.8",""
"2014","Cyprus","Total","Total","Percentage","27.7",""
"2014","Latvia","Total","Total","Percentage","34.3",""
"2014","Lithuania","Total","Total","Percentage","29.9",""
"2014","Luxembourg","Total","Total","Percentage","5.9",""
"2014","Hungary","Total","Total","Percentage","41",""
"2014","Malta","Total","Total","Percentage","22.9",""
"2014","Netherlands","Total","Total","Percentage","8.3",""
"2014","Austria","Total","Total","Percentage","9",""
"2014","Poland","Total","Total","Percentage","20.6",""
"2014","Portugal","Total","Total","Percentage","26.6",""
"2014","Romania","Total","Total","Percentage","54.2",""
"2014","Slovenia","Total","Total","Percentage","14.9",""
"2014","Slovakia","Total","Total","Percentage","18.5",""
"2014","Finland","Total","Total","Percentage","4.4",""
"2014","Sweden","Total","Total","Percentage","2.8",""
"2014","United Kingdom","Total","Total","Percentage","16.5",""
"2014","Iceland","Total","Total","Percentage","5.8",""
"2014","Norway","Total","Total","Percentage","2.8",""
"2014","Switzerland","Total","Total","Percentage","4.8",""
"2014","Montenegro","Total","Total","Percentage","58.2",""
"2014","Former Yugoslav Republic of Macedonia, the","Total","Total","Percentage","48.9",""
"2014","Serbia","Total","Total","Percentage","44",""
"2015","European Union (28 countries)","Total","Total","Percentage","17.2",""
"2015","Belgium","Total","Total","Percentage","12.3",""
"2015","Bulgaria","Total","Total","Percentage","50.6",""
"2015","Czech Republic","Total","Total","Percentage","10.6",""
"2015","Denmark","Total","Total","Percentage","7.5",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","10.9",""
"2015","Estonia","Total","Total","Percentage","9.9",""
"2015","Ireland","Total","Total","Percentage","19.3","u"
"2015","Greece","Total","Total","Percentage","37.7",""
"2015","Spain","Total","Total","Percentage","16.2",""
"2015","France","Total","Total","Percentage","12.5",""
"2015","Croatia","Total","Total","Percentage","19.2",""
"2015","Italy","Total","Total","Percentage","21.6",""
"2015","Cyprus","Total","Total","Percentage","22.8",""
"2015","Latvia","Total","Total","Percentage","28.7",""
"2015","Lithuania","Total","Total","Percentage","28.4",""
"2015","Luxembourg","Total","Total","Percentage","5.7",""
"2015","Hungary","Total","Total","Percentage","37.1",""
"2015","Malta","Total","Total","Percentage","15.3",""
"2015","Netherlands","Total","Total","Percentage","7.2",""
"2015","Austria","Total","Total","Percentage","6.8",""
"2015","Poland","Total","Total","Percentage","16",""
"2015","Portugal","Total","Total","Percentage","22.1",""
"2015","Romania","Total","Total","Percentage","49.6",""
"2015","Slovenia","Total","Total","Percentage","12",""
"2015","Slovakia","Total","Total","Percentage","16.7",""
"2015","Finland","Total","Total","Percentage","3.5",""
"2015","Sweden","Total","Total","Percentage","3","b"
"2015","United Kingdom","Total","Total","Percentage","14.1",""
"2015","Iceland","Total","Total","Percentage","6.3",""
"2015","Norway","Total","Total","Percentage","3.4",""
"2015","Switzerland","Total","Total","Percentage","5.1",""
"2015","Montenegro","Total","Total","Percentage",":",""
"2015","Former Yugoslav Republic of Macedonia, the","Total","Total","Percentage","46.6",""
"2015","Serbia","Total","Total","Percentage","39.7",""
"2016","European Union (28 countries)","Total","Total","Percentage","15.7","e"
"2016","Belgium","Total","Total","Percentage","13.3",""
"2016","Bulgaria","Total","Total","Percentage","47.9","b"
"2016","Czech Republic","Total","Total","Percentage","8.9",""
"2016","Denmark","Total","Total","Percentage","6.1",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Total","Percentage","9.4",""
"2016","Estonia","Total","Total","Percentage","7.7",""
"2016","Ireland","Total","Total","Percentage",":",""
"2016","Greece","Total","Total","Percentage","35.6",""
"2016","Spain","Total","Total","Percentage","17.4",""
"2016","France","Total","Total","Percentage","12.7",""
"2016","Croatia","Total","Total","Percentage","16.1",""
"2016","Italy","Total","Total","Percentage","17.2","p"
"2016","Cyprus","Total","Total","Percentage","21",""
"2016","Latvia","Total","Total","Percentage","24.8",""
"2016","Lithuania","Total","Total","Percentage","28.9",""
"2016","Luxembourg","Total","Total","Percentage","4.8","b"
"2016","Hungary","Total","Total","Percentage","31.9",""
"2016","Malta","Total","Total","Percentage","10.5",""
"2016","Netherlands","Total","Total","Percentage","6.5","b"
"2016","Austria","Total","Total","Percentage","7",""
"2016","Poland","Total","Total","Percentage","12",""
"2016","Portugal","Total","Total","Percentage","18.9",""
"2016","Romania","Total","Total","Percentage","49.7",""
"2016","Slovenia","Total","Total","Percentage","10",""
"2016","Slovakia","Total","Total","Percentage","15.3",""
"2016","Finland","Total","Total","Percentage","4.2",""
"2016","Sweden","Total","Total","Percentage","2.9",""
"2016","United Kingdom","Total","Total","Percentage","13",""
"2016","Iceland","Total","Total","Percentage",":",""
"2016","Norway","Total","Total","Percentage",":",""
"2016","Switzerland","Total","Total","Percentage","3.9",""
"2016","Montenegro","Total","Total","Percentage",":",""
"2016","Former Yugoslav Republic of Macedonia, the","Total","Total","Percentage",":",""
"2016","Serbia","Total","Total","Percentage",":",""
